graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
com-LiveJournal,0,0.0000001,0.0000001,991.02,135.22,67.24,62.4,0.722709246,0.7176681918,0.7147706428,0.713976609
com-LiveJournal,0,0.000001,0.000001,877.5,106.06,84.54,56.76,0.721329812,0.7176730874,0.7172907898,0.7139762702
com-LiveJournal,0,0.00001,0.00001,954.64,94.46,84.64,54.56,0.7242721638,0.7176695498,0.7176378194,0.7139729698
com-LiveJournal,0,0.0001,0.0001,916.58,87.06,81.38,53.48,0.7217424982,0.7176344134,0.7176346262,0.7139415894
com-LiveJournal,0,0.001,0.001,940.36,89.46,82.98,56.18,0.7209877298,0.7172828102,0.7172874082,0.7137356914
com-LiveJournal,0,0.01,0.01,871.74,96.6,100.64,73.82,0.7171308436,0.7137970766,0.7138098604,0.7110116242
com-LiveJournal,0,0.1,0.1,1111.94,134.96,273.2,181.88,0.6796138352,0.6812802594,0.6813151914,0.6804505202
