graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,seqstal-t,seqstar-t,seqstars-t,ompstal-t,ompstar-t,ompstars-t,ompfrol-t,ompfror-t,ompfrors-t,ompfrolr-t,ompfrolrs-t,seqstal-m,seqstar-m,seqstars-m,ompstal-m,ompstar-m,ompstars-m,ompfrol-m,ompfror-m,ompfrors-m,ompfrolr-m,ompfrolrs-m
kmer_A2a,170728175,360585172,36,36,36,0.0000001,657690.15,47439.54,29187.51,156385.76,5523.94,4161.14,749.79,73.47,74.92,68.17,54.46,0.9744447163,0.7618471778,0.7255521815,0.9742872141,0.7616080202,0.7220160227,0.9740736512,0.7615988837,0.7224717356,0.9743718525,0.9743718525
kmer_A2a,170728175,360585172,360,360,360,0.000001,661451.55,48810.27,30870.64,151028.73,6196.79,3844.45,726.53,67.89,65.18,51.36,49.56,0.9744471006,0.7618469737,0.7255520103,0.9743924795,0.761493403,0.7218988553,0.9740732152,0.7615986989,0.7224715109,0.9743714208,0.9743714206
kmer_A2a,170728175,360585172,3604,3604,3604,0.00001,660694.95,48334.89,31364.7,152207.34,5607.21,3873.33,722.34,68.27,70.85,56.2,59.8,0.9744429564,0.7618448442,0.7255500674,0.974328496,0.7614484505,0.7219721459,0.9740688417,0.7615967482,0.7224689738,0.9743671024,0.974367103
kmer_A2a,170728175,360585172,36060,36060,36060,0.0001,662082.43,47731.53,29813.94,162274.11,6041.9,4094.65,754.9,68.47,65.94,56.71,49.92,0.9744183596,0.7618235705,0.7255310663,0.9742442013,0.76153854,0.7219817724,0.9740250863,0.7615769388,0.7224440611,0.9743239121,0.9743238987
kmer_A2a,170728175,360585172,360600,360600,360600,0.001,667191.98,47303.7,30443.96,163520.53,5899.81,4471.49,767.52,78.6,72.56,69.3,70.19,0.9741482157,0.7616113153,0.7253400458,0.9739749035,0.7611790661,0.7218294167,0.9735884262,0.7613805805,0.722195588,0.9738931923,0.973893092
kmer_A2a,170728175,360585172,3606000,3606000,3606000,0.01,753065.41,52626.89,32596.31,171398.89,6066.49,3833.16,864.78,183.4,165.56,149.67,131.01,0.9711787807,0.7595072993,0.7234571616,0.9710042277,0.7590589071,0.7194373872,0.9692645489,0.7594385021,0.7197370678,0.9696266185,0.9696258548
kmer_A2a,170728175,360585172,36060000,36060000,36060000,0.1,1257660.13,85567.03,59453.19,225761.41,5165.87,4534.41,1331.71,788.93,655.46,461.19,395.58,0.935631903,0.7403569847,0.7073474955,0.9353661215,0.7368440595,0.7021488671,0.9298475447,0.7424202195,0.6988519202,0.9308424706,0.9308350513
