graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,raksta-t,loufro-t,rakfro-t,hybfro-t,lousta-m,raksta-m,loufro-m,rakfro-m,hybfro-m
it-2004,0.00000005,0.00000005,0.0000001,3592.42,1554.42,31.66,9.98,9.94,0.9775429766,0.9321767972,0.9774923308,0.9320851558,0.9774923308
it-2004,0.0000005,0.0000005,0.000001,3665.78,1638.38,43.4,16.38,19,0.977515682,0.9315695492,0.9774918874,0.9320902812,0.977491892
it-2004,0.000005,0.000005,0.00001,3778.64,1684.08,100.94,68.2,74.6,0.9775338868,0.9317902322,0.9774876564,0.9320938688,0.9774875232
it-2004,0.00005,0.00005,0.0001,3803.76,1707.34,158.3,126.62,128.04,0.9774944698,0.9318586654,0.9774469788,0.9321456352,0.9774455732
it-2004,0.0005,0.0005,0.001,4038.5,1806.62,347.78,239.6,219.72,0.9769722622,0.9315332364,0.9770138738,0.9321609984,0.9770111124
it-2004,0.005,0.005,0.01,5066.22,2230.36,857.58,573.74,487.14,0.9722879936,0.9284776134,0.9727206956,0.929114186,0.9727122806
it-2004,0.05,0.05,0.1,10430.66,4374.26,4739.86,2151.72,1568.44,0.9328836276,0.8931508234,0.9321738798,0.893756278,0.932343995
