graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,ompstal-t,ompstar-t,ompstars-t,ompfrol-t,ompfror-t,ompfrors-t,ompfrolr-t,ompfrolrs-t,ompstal-m,ompstar-m,ompstars-m,ompfrol-m,ompfror-m,ompfrors-m,ompfrolr-m,ompfrolrs-m
webbase-2001,118142155,1889691191,94,94,188,0.0000001,67760.7,2376.16,2214.34,666.54,49.52,52.58,40.5,43.34,0.9831310894,0.9310350752,0.9346033502,0.9815204034,0.9310946672,0.9346613334,0.9831697432,0.983169743
webbase-2001,118142155,1889691191,944,944,1888,0.000001,62133.9,1935.76,1988.36,663.14,48.44,46.88,51.16,44.22,0.9830584356,0.9309207082,0.9345696044,0.9815305486,0.9311082636,0.9346788248,0.9831808642,0.9831795224
webbase-2001,118142155,1889691191,9448,9448,18896,0.00001,63578.58,1916.22,1894.08,618.4,55.66,61.96,48.68,49.8,0.9828849822,0.9310465566,0.9346339644,0.981599808,0.9312337506,0.9347962022,0.9832485166,0.983248643
webbase-2001,118142155,1889691191,94480,94480,188960,0.0001,68842.74,2093.88,2065.92,666.02,102.08,108.3,68.52,65.08,0.9827760424,0.9309701818,0.9342971068,0.981617955,0.9314456206,0.934905696,0.9832677936,0.9832682484
webbase-2001,118142155,1889691191,944800,944800,1889600,0.001,72249.32,2171.6,2201.78,738.58,191.02,232.08,175.74,140.08,0.980649336,0.9291240066,0.9318577376,0.9810541992,0.9308101382,0.9340591864,0.9827013574,0.9826987476
webbase-2001,118142155,1889691191,9448000,9448000,18896000,0.01,89308.9,2278.12,2247.82,1223.22,735.2,722.76,649.2,667.26,0.972255237,0.920976573,0.9236754046,0.9763548428,0.9263130796,0.9292437334,0.9779094146,0.9778987786
webbase-2001,118142155,1889691191,94480000,94480000,188960000,0.1,143713.82,6141.14,4579.36,100748.68,5913.46,6226.4,5500.48,5194.4,0.8674121856,0.8740036226,0.873303747,0.9267415842,0.884570278,0.8874083614,0.9277860458,0.928215387
