graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,ompstal-t,ompstar-t,ompstars-t,ompfrol-t,ompfror-t,ompfrors-t,ompfrolr-t,ompfrolrs-t,ompstal-m,ompstar-m,ompstars-m,ompfrol-m,ompfror-m,ompfrors-m,ompfrolr-m,ompfrolrs-m
arabic-2005,22744080,1209320581,60,60,120,0.0000001,6245.02,1096.96,1058.08,338.58,13.32,13.26,10.46,8.4,0.9898644842,0.954791209,0.9540170644,0.9885415944,0.9557536852,0.9539840028,0.9896417608,0.9896417612
arabic-2005,22744080,1209320581,604,604,1208,0.000001,6662.34,766.68,762.8,237.8,14.1,11.08,8.3,9.94,0.9898969712,0.9555810684,0.9548513906,0.9885774512,0.9558739576,0.9541055798,0.9896740434,0.989674026
arabic-2005,22744080,1209320581,6046,6046,12092,0.00001,9276.7,689.24,645.7,218.36,25.96,29.16,24.1,20.06,0.9899784438,0.9564539458,0.9553416776,0.9886954634,0.9563957108,0.9545442524,0.989797306,0.9897932652
arabic-2005,22744080,1209320581,60470,60470,120940,0.0001,12630.4,595.98,582.14,226.82,44.72,42.68,42.82,40.92,0.9897427524,0.9553105974,0.9541523112,0.9885470192,0.9562547756,0.9543701508,0.989657506,0.9896513182
arabic-2005,22744080,1209320581,604700,604700,1209400,0.001,13208.96,587.2,585.32,270.8,87.1,87.02,89.22,88.78,0.9888134236,0.9531757392,0.9514835006,0.9878841838,0.955013294,0.9530093012,0.989018319,0.9890160154
arabic-2005,22744080,1209320581,6047000,6047000,12094000,0.01,15944.9,894.34,910.16,562.84,414.12,406.6,390.28,382.36,0.9722857138,0.944495342,0.9443084986,0.9830475726,0.9494367326,0.9480303582,0.9833541422,0.9833728378
arabic-2005,22744080,1209320581,60470000,60470000,120940000,0.1,18278.26,2666.04,2537.8,1126.14,2753.4,2805.9,2506.18,2436.32,0.9237238402,0.902861027,0.9023067922,0.9356916938,0.904469628,0.9038583492,0.9336068106,0.9339981872
