graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,ompstal-t,ompstar-t,ompstars-t,ompfrol-t,ompfror-t,ompfrors-t,ompfrolr-t,ompfrolrs-t,ompstal-m,ompstar-m,ompstars-m,ompfrol-m,ompfror-m,ompfrors-m,ompfrolr-m,ompfrolrs-m
asia_osm,11950757,25423206,0,0,0,0.0000001,7665.48,598.68,94.4,29.52,12.68,13.7,8.42,5.46,0.9987679916,0.7328569578,0.9391636204,0.998675841,0.732144008,0.939774076,0.998765006,0.998765006
asia_osm,11950757,25423206,12,12,24,0.000001,7492.98,558.58,81.94,29.8,8.36,7.84,7.38,5.24,0.9987691706,0.7326799206,0.9400613574,0.998675368,0.7321439414,0.939773641,0.998764534,0.998764534
asia_osm,11950757,25423206,126,126,252,0.00001,7709.24,432.02,62.62,27.06,5.38,5.58,6.54,3.96,0.9987646532,0.7328367236,0.9393392774,0.9986708828,0.7321420698,0.9397695654,0.998760048,0.9987600482
asia_osm,11950757,25423206,1270,1270,2540,0.0001,7486.82,381.08,52.74,24.26,5.18,5.78,5.9,4.14,0.9987135436,0.7332491184,0.9391328992,0.9986259414,0.7321280696,0.9397283194,0.9987151452,0.9987151452
asia_osm,11950757,25423206,12710,12710,25420,0.001,7533.32,406.74,63.7,28.76,7.46,7.52,8.24,4.94,0.9982230178,0.7368431188,0.9387229388,0.9981763866,0.7319926766,0.939317427,0.9982660566,0.998266058
asia_osm,11950757,25423206,127100,127100,254200,0.01,6683.2,298.82,51.9,24.04,9.4,9.12,9.2,8.56,0.9942583222,0.7671227348,0.9327125882,0.9936676312,0.7306106918,0.9352127626,0.9937835934,0.9937847712
asia_osm,11950757,25423206,1271000,1271000,2542000,0.1,8048.82,326.26,87.92,67.38,60.24,55.2,44.22,45.1,0.9667631558,0.785150264,0.884714113,0.9475129036,0.7162001406,0.8956590032,0.9499762588,0.9500610496
