graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,raksta-t,loufro-t,rakfro-t,hybfro-t,lousta-m,raksta-m,loufro-m,rakfro-m,hybfro-m
kmer_V1r,0.00000005,0.00000005,0.0000001,20937.25,2358.9,732.1,84,86.45,0.9465675085,0.7127501165,0.947112612,0.7127523275,0.947112612
kmer_V1r,0.0000005,0.0000005,0.000001,20966.45,1831.05,665.5,104.75,85,0.947126074,0.7127515815,0.947112212,0.712752254,0.947112214
kmer_V1r,0.000005,0.000005,0.00001,19393.95,1758.25,686.6,92.8,83.9,0.9471534065,0.7127508445,0.9471081505,0.712751223,0.9471081545
kmer_V1r,0.00005,0.00005,0.0001,19301.15,1864.5,700.95,92.55,83.35,0.9454440165,0.712747792,0.9470678165,0.7127420225,0.947067859
kmer_V1r,0.0005,0.0005,0.001,19806.2,1786.55,711.6,101.2,97.15,0.9447471405,0.712701994,0.946664789,0.7126479385,0.9466650895
kmer_V1r,0.005,0.005,0.01,21786.75,1815.9,1649.6,362.35,196.05,0.9439923185,0.7122467055,0.9426530735,0.7117046145,0.9426379815
kmer_V1r,0.05,0.05,0.1,24506.3,2386.85,2445.15,776.2,1012.75,0.9237780285,0.7066158415,0.90287471,0.7014914895,0.90275769
