graph,num_threads,lousta-t,raksta-t,loufro-t,rakfro-t,hybfro-t,lousta-t1,raksta-t1,loufro-t1,rakfro-t1,hybfro-t1,lousta-m,raksta-m,loufro-m,rakfro-m,hybfro-m
uk-2002,1,15808.92,7949.7,1578,594.2,549.48,15808.92,7949.7,1578,594.2,549.48,0.9899310602,0.9546374436,0.9899661754,0.9481363532,0.989967116
uk-2002,2,8733.16,4423.48,830.32,334.24,307.52,15808.92,7949.7,1578,594.2,549.48,0.9898901252,0.9502364812,0.9899660218,0.948134953,0.9899670558
uk-2002,4,4660.36,2465.68,617.08,197.68,179.84,15808.92,7949.7,1578,594.2,549.48,0.9899375926,0.9485030954,0.9899660306,0.9481347374,0.9899670654
uk-2002,8,2628.14,1188.06,296.92,113.42,107.24,15808.92,7949.7,1578,594.2,549.48,0.9899242266,0.9479299124,0.989966038,0.9481349124,0.989967084
uk-2002,16,1465.38,685.34,213.52,69.8,60.34,15808.92,7949.7,1578,594.2,549.48,0.9899409292,0.94789901,0.9899660318,0.9481349514,0.9899670744
uk-2002,32,1033.4,429.42,189.14,52.4,42.96,15808.92,7949.7,1578,594.2,549.48,0.9899331584,0.9478059618,0.989965683,0.9481348954,0.9899670598
uk-2002,64,992.52,417.52,186.56,46.16,39.62,15808.92,7949.7,1578,594.2,549.48,0.989928949,0.9482753198,0.9899656592,0.9481366634,0.9899668382
uk-2002,128,1028.18,441.28,204.74,55.76,47.58,15808.92,7949.7,1578,594.2,549.48,0.9899070224,0.9477765488,0.9899655404,0.948134883,0.9899667398
