graph,num_threads,lousta-t,raksta-t,loufro-t,rakfro-t,hybfro-t,lousta-t1,raksta-t1,loufro-t1,rakfro-t1,hybfro-t1
europe_osm,1,28521.35,4161.2,438.15,191.95,165.5,28521.35,4161.2,438.15,191.95,165.5
europe_osm,2,19970,2980.3,481.5,126.8,110.75,28521.35,4161.2,438.15,191.95,165.5
europe_osm,4,11494.85,1290.1,236.6,82.65,66.55,28521.35,4161.2,438.15,191.95,165.5
europe_osm,8,6142.35,731.05,247.95,53.7,48.4,28521.35,4161.2,438.15,191.95,165.5
europe_osm,16,3839.55,473.1,201,40.3,38.15,28521.35,4161.2,438.15,191.95,165.5
europe_osm,32,3030.65,304.1,193.7,30.35,24.9,28521.35,4161.2,438.15,191.95,165.5
europe_osm,64,2893.7,272.35,169.95,26.1,20.85,28521.35,4161.2,438.15,191.95,165.5
