graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,num_threads,seqstal-t,seqstar-t,seqstars-t,ompstal-t,ompstar-t,ompstars-t,ompfrol-t,ompfror-t,ompfrors-t,ompfrolr-t,ompfrolrs-t,seqstal-m,seqstar-m,seqstars-m,ompstal-m,ompstar-m,ompstars-m,ompfrol-m,ompfror-m,ompfrors-m,ompfrolr-m,ompfrolrs-m,seqstal-t1,seqstar-t1,seqstars-t1,ompstal-t1,ompstar-t1,ompstars-t1,ompfrol-t1,ompfror-t1,ompfrors-t1,ompfrolr-t1,ompfrolrs-t1
asia_osm,11950757,25423206,0,25420,25420,0.0009998738947,1,19443.46,6805.48,651.8,22127.76,7226.76,671.76,179.4,47.92,46.66,43.2,43.3,0.9975087742,0.7349187666,0.9524442802,0.9975087742,0.7349187666,0.9524442802,0.997678028,0.732588072,0.9397748274,0.9977721206,0.9977721196,19443.46,6805.48,651.8,22127.76,7226.76,671.76,179.4,47.92,46.66,43.2,43.3
asia_osm,11950757,25423206,0,25420,25420,0.0009998738947,2,19443.46,6805.48,651.8,15004.34,3768.76,559.88,101.38,25.08,25.2,23.66,22.82,0.9975087742,0.7349187666,0.9524442802,0.997510897,0.7363675254,0.942905376,0.997678028,0.7325936208,0.9397748592,0.9977721198,0.9977721196,19443.46,6805.48,651.8,22127.76,7226.76,671.76,179.4,47.92,46.66,43.2,43.3
asia_osm,11950757,25423206,0,25420,25420,0.0009998738947,4,19443.46,6805.48,651.8,11251.5,2190.84,301.02,78.3,15.4,13.68,14.08,14.88,0.9975087742,0.7349187666,0.9524442802,0.997510191,0.7369787604,0.9407010782,0.997678028,0.7325991846,0.939774796,0.9977721198,0.9977721196,19443.46,6805.48,651.8,22127.76,7226.76,671.76,179.4,47.92,46.66,43.2,43.3
asia_osm,11950757,25423206,0,25420,25420,0.0009998738947,8,19443.46,6805.48,651.8,9678.04,1307.14,168.74,65.02,9.16,9.14,7.92,10.92,0.9975087742,0.7349187666,0.9524442802,0.9975063348,0.7373574974,0.939794229,0.997678028,0.7326026898,0.939774906,0.9977721264,0.9977721206,19443.46,6805.48,651.8,22127.76,7226.76,671.76,179.4,47.92,46.66,43.2,43.3
asia_osm,11950757,25423206,0,25420,25420,0.0009998738947,16,19443.46,6805.48,651.8,8402.12,731.58,99.7,38.42,6.4,6.64,6.06,5.58,0.9975087742,0.7349187666,0.9524442802,0.9975062898,0.7375036266,0.9393247592,0.997678028,0.7326035228,0.9397747646,0.9977721262,0.9977721206,19443.46,6805.48,651.8,22127.76,7226.76,671.76,179.4,47.92,46.66,43.2,43.3
asia_osm,11950757,25423206,0,25420,25420,0.0009998738947,32,19443.46,6805.48,651.8,8027.3,567.18,75.28,33.34,7.44,6.38,5.52,6.88,0.9975087742,0.7349187666,0.9524442802,0.9975050968,0.7376223432,0.938843548,0.997678028,0.73260346,0.9397747488,0.997772127,0.9977721218,19443.46,6805.48,651.8,22127.76,7226.76,671.76,179.4,47.92,46.66,43.2,43.3
asia_osm,11950757,25423206,0,25420,25420,0.0009998738947,64,19443.46,6805.48,651.8,7890.78,496.64,69.06,26.8,6.94,7.3,5.2,7.3,0.9975087742,0.7349187666,0.9524442802,0.99750798,0.737476293,0.9391106846,0.997678028,0.7326041202,0.9397747332,0.9977721266,0.9977721206,19443.46,6805.48,651.8,22127.76,7226.76,671.76,179.4,47.92,46.66,43.2,43.3
asia_osm,11950757,25423206,0,25420,25420,0.0009998738947,128,19443.46,6805.48,651.8,7852.4,528.66,77.6,41.84,19.8,12.78,15.24,10.82,0.9975087742,0.7349187666,0.9524442802,0.9975113484,0.737603513,0.9386979792,0.997678028,0.7326038844,0.9397748748,0.9977721204,0.9977721196,19443.46,6805.48,651.8,22127.76,7226.76,671.76,179.4,47.92,46.66,43.2,43.3
