graph,num_threads,lousta-t,raksta-t,loufro-t,rakfro-t,hybfro-t,lousta-t1,raksta-t1,loufro-t1,rakfro-t1,hybfro-t1
com-Orkut,1,10817.35,4468.6,919.4,458.5,870.25,10817.35,4468.6,919.4,458.5,870.25
com-Orkut,2,7155.5,2655.45,528.35,268.25,498.5,10817.35,4468.6,919.4,458.5,870.25
com-Orkut,4,4933.8,1595.3,310.5,129.85,240.1,10817.35,4468.6,919.4,458.5,870.25
com-Orkut,8,3459.15,833.5,160.55,80.1,141.7,10817.35,4468.6,919.4,458.5,870.25
com-Orkut,16,2733.1,486.3,106.8,45.1,74.95,10817.35,4468.6,919.4,458.5,870.25
com-Orkut,32,2617.95,493.15,78.15,30.7,51.45,10817.35,4468.6,919.4,458.5,870.25
com-Orkut,64,2192.4,535.95,66.6,34.95,50.95,10817.35,4468.6,919.4,458.5,870.25
