graph,num_threads,lousta-t,raksta-t,loufro-t,rakfro-t,hybfro-t,lousta-t1,raksta-t1,loufro-t1,rakfro-t1,hybfro-t1
sk-2005,1,78287.18,42534.52,5234.82,6105.08,6064.62,78287.18,42534.52,5234.82,6105.08,6064.62
sk-2005,2,52076,30525.26,3036.46,3573.7,3388.86,78287.18,42534.52,5234.82,6105.08,6064.62
sk-2005,4,28940.68,15402.76,1729.64,1758.1,1702.88,78287.18,42534.52,5234.82,6105.08,6064.62
sk-2005,8,17842.8,9393.18,943.18,926.28,898.16,78287.18,42534.52,5234.82,6105.08,6064.62
sk-2005,16,12665.5,6526.82,677.48,539.84,532.72,78287.18,42534.52,5234.82,6105.08,6064.62
sk-2005,32,8710.5,4147.68,531.4,358.54,355.92,78287.18,42534.52,5234.82,6105.08,6064.62
sk-2005,64,6627.36,3206.74,494.76,309.4,306.28,78287.18,42534.52,5234.82,6105.08,6064.62
