graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,num_threads,seqstal-t,seqstar-t,seqstars-t,ompstal-t,ompstar-t,ompstars-t,ompfrol-t,ompfror-t,ompfrors-t,ompfrolr-t,ompfrolrs-t,seqstal-m,seqstar-m,seqstars-m,ompstal-m,ompstar-m,ompstars-m,ompfrol-m,ompfror-m,ompfrors-m,ompfrolr-m,ompfrolrs-m,seqstal-t1,seqstar-t1,seqstars-t1,ompstal-t1,ompstar-t1,ompstars-t1,ompfrol-t1,ompfror-t1,ompfrors-t1,ompfrolr-t1,ompfrolrs-t1
it-2004,41291594,2186144594,0,2186000,2186000,0.0009999338589,1,54692.98,31968.6,31459.42,59412.08,31940.84,31365.76,4958.14,2066.34,2096.32,1777.88,1778,0.9766037554,0.9453471912,0.9443650874,0.9766037554,0.9453471912,0.9443650874,0.9751900884,0.945120344,0.9446852956,0.976520149,0.9765200982,54692.98,31968.6,31459.42,59412.08,31940.84,31365.76,4958.14,2066.34,2096.32,1777.88,1778
it-2004,41291594,2186144594,0,2186000,2186000,0.0009999338589,2,54692.98,31968.6,31459.42,37152.08,19013.74,19403.46,3045.28,1443.94,1350.68,1261.3,1181.34,0.9766037554,0.9453471912,0.9443650874,0.9765793486,0.9453365968,0.9437852736,0.9751900884,0.9451209996,0.944684448,0.9765201182,0.9765205492,54692.98,31968.6,31459.42,59412.08,31940.84,31365.76,4958.14,2066.34,2096.32,1777.88,1778
it-2004,41291594,2186144594,0,2186000,2186000,0.0009999338589,4,54692.98,31968.6,31459.42,29242.22,13355.14,10527.52,1677.42,761.6,738.38,734.3,640,0.9766037554,0.9453471912,0.9443650874,0.9765994308,0.9454143164,0.9435650822,0.9751900886,0.9451219464,0.9446875008,0.9765194502,0.976519728,54692.98,31968.6,31459.42,59412.08,31940.84,31365.76,4958.14,2066.34,2096.32,1777.88,1778
it-2004,41291594,2186144594,0,2186000,2186000,0.0009999338589,8,54692.98,31968.6,31459.42,18577.5,5522.92,5342.28,1391.8,446.46,395.02,336.4,384.08,0.9766037554,0.9453471912,0.9443650874,0.9759496186,0.9457177704,0.9456007104,0.9751900886,0.945120292,0.9446883218,0.9765191892,0.9765199576,54692.98,31968.6,31459.42,59412.08,31940.84,31365.76,4958.14,2066.34,2096.32,1777.88,1778
it-2004,41291594,2186144594,0,2186000,2186000,0.0009999338589,16,54692.98,31968.6,31459.42,14648.94,3270.92,3382.82,682.78,279.04,265.48,208.34,216.9,0.9766037554,0.9453471912,0.9443650874,0.9762489618,0.945787712,0.945687891,0.9751900884,0.9451216974,0.9446844298,0.9765192692,0.976519934,54692.98,31968.6,31459.42,59412.08,31940.84,31365.76,4958.14,2066.34,2096.32,1777.88,1778
it-2004,41291594,2186144594,0,2186000,2186000,0.0009999338589,32,54692.98,31968.6,31459.42,13146.34,2317.88,2408.92,521.2,181.18,194.92,157.06,155.48,0.9766037554,0.9453471912,0.9443650874,0.9763168798,0.9456403526,0.9451130912,0.9751900884,0.9451226308,0.944682856,0.9765194194,0.9765198374,54692.98,31968.6,31459.42,59412.08,31940.84,31365.76,4958.14,2066.34,2096.32,1777.88,1778
it-2004,41291594,2186144594,0,2186000,2186000,0.0009999338589,64,54692.98,31968.6,31459.42,12637.24,1882.6,1862.04,500.02,147.04,172.5,137.02,137.76,0.9766037554,0.9453471912,0.9443650874,0.9764625562,0.9448892254,0.9436786324,0.9751900884,0.945123096,0.944682796,0.9765190924,0.9765189108,54692.98,31968.6,31459.42,59412.08,31940.84,31365.76,4958.14,2066.34,2096.32,1777.88,1778
it-2004,41291594,2186144594,0,2186000,2186000,0.0009999338589,128,54692.98,31968.6,31459.42,12879.36,1678.72,1354.4,500.56,165.6,155.92,129.2,129.22,0.9766037554,0.9453471912,0.9443650874,0.9760987802,0.9442021454,0.9444340828,0.9751900886,0.9451202032,0.9446766064,0.9765195538,0.9765194598,54692.98,31968.6,31459.42,59412.08,31940.84,31365.76,4958.14,2066.34,2096.32,1777.88,1778
