graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,num_threads,ompstal-t,ompstar-t,ompstars-t,ompfrol-t,ompfror-t,ompfrors-t,ompfrolr-t,ompfrolrs-t,ompstal-m,ompstar-m,ompstars-m,ompfrol-m,ompfror-m,ompfrors-m,ompfrolr-m,ompfrolrs-m,ompstal-t1,ompstar-t1,ompstars-t1,ompfrol-t1,ompfror-t1,ompfrors-t1,ompfrolr-t1,ompfrolrs-t1
indochina-2004,7414866,341157189,170600,170600,341200,0.001000125488,1,16774.38,4514.14,4408.24,818.36,370.46,364.18,354.06,337.78,0.9461657858,0.916753369,0.9111594182,0.9389479298,0.9119392748,0.9144278244,0.9461042358,0.9460978474,16774.38,4514.14,4408.24,818.36,370.46,364.18,354.06,337.78
indochina-2004,7414866,341157189,170600,170600,341200,0.001000125488,2,10768.68,2895.82,2599.54,472.36,262.06,275.22,212.08,215.54,0.9459717116,0.9169960422,0.91128643,0.9389479298,0.9119419564,0.9144276862,0.9461113404,0.9461038292,16774.38,4514.14,4408.24,818.36,370.46,364.18,354.06,337.78
indochina-2004,7414866,341157189,170600,170600,341200,0.001000125488,4,7707.26,1794.52,1747.44,300.16,130.96,129.02,151.32,141.84,0.9461314456,0.9172089322,0.9114072474,0.9389479298,0.9119389332,0.9144305172,0.946108607,0.9461099214,16774.38,4514.14,4408.24,818.36,370.46,364.18,354.06,337.78
indochina-2004,7414866,341157189,170600,170600,341200,0.001000125488,8,6272.8,1347.52,1221.12,194.52,69.78,70.9,81.26,83.92,0.9461108554,0.9173395522,0.9126068384,0.9389479298,0.9119456688,0.9144247754,0.9460936858,0.9460870474,16774.38,4514.14,4408.24,818.36,370.46,364.18,354.06,337.78
indochina-2004,7414866,341157189,170600,170600,341200,0.001000125488,16,5537.6,921.78,907.62,151.16,54.26,45.48,41.94,45.78,0.9461259386,0.9177029942,0.9130371076,0.9389479298,0.911948048,0.9144217072,0.9461082196,0.9461025762,16774.38,4514.14,4408.24,818.36,370.46,364.18,354.06,337.78
indochina-2004,7414866,341157189,170600,170600,341200,0.001000125488,32,5288.44,810.96,801.7,149.96,29.68,33.76,25.7,26.98,0.946050499,0.9127034966,0.9137260006,0.9389479298,0.9119360834,0.914423497,0.9461080438,0.9461030924,16774.38,4514.14,4408.24,818.36,370.46,364.18,354.06,337.78
indochina-2004,7414866,341157189,170600,170600,341200,0.001000125488,64,5756.56,793.02,772.22,141.9,34.8,30.08,22.72,23.72,0.9458736804,0.9113038086,0.9099355804,0.9389479298,0.9119380384,0.9144292096,0.9460930192,0.946091359,16774.38,4514.14,4408.24,818.36,370.46,364.18,354.06,337.78
indochina-2004,7414866,341157189,170600,170600,341200,0.001000125488,128,6468.28,838.9,794.5,201.24,49.56,37.54,34.98,38.38,0.9432793768,0.9109086362,0.9100377556,0.9389479298,0.9119402274,0.914421443,0.9460958032,0.9460939282,16774.38,4514.14,4408.24,818.36,370.46,364.18,354.06,337.78
