graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,num_threads,seqstal-s,seqstar-s,seqstars-s,ompstal-s,ompstar-s,ompstars-s,ompfrol-s,ompfror-s,ompfrors-s,ompfrolr-s,ompfrolrs-s,seqstal-m,seqstar-m,seqstars-m,ompstal-m,ompstar-m,ompstars-m,ompfrol-m,ompfror-m,ompfrors-m,ompfrolr-m,ompfrolrs-m
uk-2005,39459925,1729332281,0,1729000,1729000,0.0009998078559,1,1,1,1,1,1,1,1,1,1,1,1,0.9810997696,0.9559389644,0.9557418624,0.9810997696,0.9559389644,0.9557418624,0.9800992104,0.956421555,0.9560910016,0.9807853174,0.9807855844
uk-2005,39459925,1729332281,0,1729000,1729000,0.0009998078559,2,1,1,1,1.548080437,1.667506222,1.378096623,1.673992764,1.395284253,1.223485025,1.234343254,1.533607409,0.9810997696,0.9559389644,0.9557418624,0.9810966446,0.9565696654,0.9560997344,0.9800992104,0.9564214574,0.9560901618,0.9807844418,0.9807848238
uk-2005,39459925,1729332281,0,1729000,1729000,0.0009998078559,4,1,1,1,2.19356843,2.766829829,2.745301109,2.037254588,2.486509786,2.060587835,2.703106705,2.906543231,0.9810997696,0.9559389644,0.9557418624,0.9810951396,0.956610697,0.9560079428,0.9800992104,0.9564199788,0.9560891276,0.9807848746,0.9807847086
uk-2005,39459925,1729332281,0,1729000,1729000,0.0009998078559,8,1,1,1,3.348907929,5.483617894,5.217785545,4.234157602,5.282884472,5.282276445,5.424420426,5.314821907,0.9810997696,0.9559389644,0.9557418624,0.9811165272,0.956435493,0.9558478286,0.9800998854,0.9564203968,0.9560900706,0.9807850854,0.9807851622
uk-2005,39459925,1729332281,0,1729000,1729000,0.0009998078559,16,1,1,1,4.595779689,9.079307398,8.648472017,7.280988484,11.66841474,10.15476804,11.23787117,11.12473946,0.9810997696,0.9559389644,0.9557418624,0.9811347888,0.9563685374,0.9557532066,0.9800992096,0.9564202822,0.9560900634,0.9807850164,0.9807858788
uk-2005,39459925,1729332281,0,1729000,1729000,0.0009998078559,32,1,1,1,4.878815702,13.95640532,12.31502509,11.08943842,12.15277778,11.53917118,14.2157225,18.13512807,0.9810997696,0.9559389644,0.9557418624,0.9808687548,0.9563300244,0.955627956,0.9800998866,0.9564208042,0.9560902042,0.980784308,0.9807849096
uk-2005,39459925,1729332281,0,1729000,1729000,0.0009998078559,64,1,1,1,5.262875132,16.2302785,16.35782368,12.22695334,11.4893774,18.56762488,26.12561298,23.49644429,0.9810997696,0.9559389644,0.9557418624,0.9807698908,0.9560520444,0.9556032004,0.9800995492,0.9564221122,0.9560901838,0.9807843586,0.9807848086
uk-2005,39459925,1729332281,0,1729000,1729000,0.0009998078559,128,1,1,1,4.796255098,20.50915924,17.72329536,10.66926947,18.02244851,12.25330431,15.38405153,16.7677622,0.9810997696,0.9559389644,0.9557418624,0.980250842,0.955063683,0.9560206226,0.9800995492,0.9564204098,0.9560894072,0.9807800016,0.9807806616
