graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
asia_osm,0.00000005,0.00000005,0.0000001,563.75,660.55,46.25,44.65,0.9987565335,0.998754943,0.99875576,0.99875576
asia_osm,0.0000005,0.0000005,0.000001,666.4,615.4,46.05,36.65,0.9987526445,0.998755423,0.998755288,0.998755288
asia_osm,0.000005,0.000005,0.00001,645.85,648.7,46.85,37.45,0.9987486295,0.998750975,0.9987511575,0.998750843
asia_osm,0.00005,0.00005,0.0001,644.55,651.05,64.75,39.9,0.998702854,0.9987003595,0.998706989,0.998705806
asia_osm,0.0005,0.0005,0.001,640.1,653.75,73.95,40.85,0.998216336,0.9982138815,0.998258463,0.9982568565
asia_osm,0.005,0.005,0.01,702.75,706,96.5,65.65,0.994224241,0.994215294,0.993804087,0.9937741245
asia_osm,0.05,0.05,0.1,932.45,946.25,175.6,91.5,0.9648694635,0.964885339,0.9503224615,0.950253173
