graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
indochina-2004,0.0000001,0,0.0000001,969.3,298.4,45.28,29.86,0.9488851316,0.9489219212,0.9488668914,0.948856666
indochina-2004,0.000001,0,0.000001,942,275.62,66.12,34.82,0.9488974426,0.9489218902,0.948890021,0.9488566288
indochina-2004,0.00001,0,0.00001,845.54,254.14,148.5,33.28,0.9488677638,0.948921506,0.9489189222,0.9488562618
indochina-2004,0.0001,0,0.0001,820.02,234.64,160.38,38.74,0.9488305832,0.9489176838,0.948917443,0.948855504
indochina-2004,0.001,0,0.001,852.44,248.66,177.6,44.26,0.9488035506,0.9488798194,0.9488798012,0.948834739
indochina-2004,0.01,0,0.01,903.96,263.76,235.98,105.24,0.9476587796,0.948508844,0.948509036,0.948480058
indochina-2004,0.1,0,0.1,902.08,274.66,550.9,437.84,0.9384508764,0.945342702,0.945342977,0.9453351638
