graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,seqsta-t,ompsta-t,ompnai-t,ompdel-t,ompfro-t,seqsta-m,ompsta-m,ompnai-m,ompdel-m,ompfro-m
sk-2005,5.06E+07,3.80E+09,0.00E+00,3.80E+03,3.80E+03,1.00E-06,86119.88,18645.2,1354.48,1313.92,601.32,0.9767900716,0.9771953826,0.9734512188,0.9734512188,0.9734512292
sk-2005,5.06E+07,3.80E+09,0.00E+00,3.80E+04,3.80E+04,1.00E-05,87066.74,17760.36,1550.82,1402.34,544.88,0.9767849726,0.9773296514,0.9734424784,0.9734424784,0.9734424888
sk-2005,5.06E+07,3.80E+09,0.00E+00,3.80E+05,3.80E+05,1.00E-04,87392.74,18751.12,1223.88,1171,548.2,0.9767026412,0.9770166206,0.9733919068,0.9733919068,0.9733919168
sk-2005,5.06E+07,3.80E+09,0.00E+00,3.80E+06,3.80E+06,1.00E-03,95372.48,15149.64,1201.2,1364.46,722.54,0.9758055192,0.9760772788,0.9724233292,0.9724233292,0.97242334
sk-2005,5.06E+07,3.80E+09,0.00E+00,3.80E+07,3.80E+07,1.00E-02,138192.04,18928.94,1542.74,1397.72,1216.8,0.9664591126,0.9668445004,0.9638047918,0.9638047914,0.9638044
sk-2005,5.06E+07,3.80E+09,0.00E+00,3.80E+08,3.80E+08,1.00E-01,279642.94,27705.3,2422.98,2416.5,2551.76,0.8884209942,0.8877253022,0.8847964024,0.8847986246,0.8848131728
