graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,lousta-t,lounai-t,loudel-t,loufro-t,lousta-m,lounai-m,loudel-m,loufro-m
it-2004,0.00000005,0.00000005,0.0000001,3589.6,566.34,564.84,32.4,0.9775614578,0.977583399,0.977583408,0.9775214962
it-2004,0.0000005,0.0000005,0.000001,3603.58,548.46,569.32,45.9,0.977500613,0.97758296,0.9775829548,0.9775216396
it-2004,0.000005,0.000005,0.00001,3421.7,509.44,575.42,98.32,0.9775362456,0.977578505,0.9775785046,0.9775167182
it-2004,0.00005,0.00005,0.0001,3351.56,505.68,637.44,150.84,0.9774871462,0.9775340854,0.9775340822,0.9774775984
it-2004,0.0005,0.0005,0.001,3432.36,666.42,738.48,360.74,0.9769242748,0.9770910064,0.9770910042,0.977044757
it-2004,0.005,0.005,0.01,4302.36,1046.38,1438.88,792.56,0.972468405,0.972769212,0.9727692062,0.9727517496
it-2004,0.05,0.05,0.1,10521.46,3767.28,5870.18,3898.58,0.9330706242,0.93217823,0.932178234,0.9322037032
