graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,ompsta-t,ompnai-t,ompdel-t,ompfro-t,ompsta-m,ompnai-m,ompdel-m,ompfro-m
uk-2002,18520486,566785284,28,28,56,0.0000001,5172.9,338.84,192.02,158.8,0.99003655,0.9895359152,0.9895359112,0.9895359112
uk-2002,18520486,566785284,282,282,564,0.000001,4905.5,330.5,227.3,153.66,0.9900808038,0.9895378546,0.9895378512,0.9895378504
uk-2002,18520486,566785284,2832,2832,5664,0.00001,5156.46,296.44,267.72,144.78,0.9900970666,0.9895617482,0.9895617482,0.9895617436
uk-2002,18520486,566785284,28340,28340,56680,0.0001,9344.98,252.14,268.56,123.48,0.9891825062,0.9895570582,0.989557059,0.989557055
uk-2002,18520486,566785284,283400,283400,566800,0.001,9725.9,247.98,277.18,135.9,0.9867368658,0.9890233326,0.9890233216,0.9890233084
uk-2002,18520486,566785284,2834000,2834000,5668000,0.01,11859.16,316.1,651.02,226.12,0.9760710252,0.9842804576,0.9842804042,0.9842687328
uk-2002,18520486,566785284,28340000,28340000,56680000,0.1,16125.06,462.28,1466.7,569,0.8708062366,0.9348522872,0.9348483722,0.9348457334
