graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,num_threads,seqsta-s,seqstas-s,ompsta-s,ompstas-s,ompnai-s,ompnais-s,ompdel-s,ompdels-s,ompfro-s,ompfros-s,seqsta-m,seqstas-m,ompsta-m,ompstas-m,ompnai-m,ompnais-m,ompdel-m,ompdels-m,ompfro-m,ompfros-m
arabic-2005,2.27E+07,1.21E+09,0.00E+00,1.21E+06,1.21E+06,1.00E-03,1,1,1,1,1,1,1,1,1,1,1,0.9612199054,0.9533438812,0.9612199054,0.9533438812,0.9574798296,0.95563251,0.9572896466,0.9554139256,0.9562233198,0.954281232
arabic-2005,2.27E+07,1.21E+09,0.00E+00,1.21E+06,1.21E+06,1.00E-03,2,1,1,1.902211569,1.832380565,1.855609817,1.837127131,1.83580252,1.547938689,1.606648913,1.713349763,0.9612199054,0.9533438812,0.9612431292,0.9546847032,0.9574815508,0.9556311212,0.957291195,0.9554123944,0.9562240516,0.9542799072
arabic-2005,2.27E+07,1.21E+09,0.00E+00,1.21E+06,1.21E+06,1.00E-03,4,1,1,3.378063246,3.165112803,1.959080828,2.942390113,2.893188433,3.168483814,2.633607134,2.514666314,0.9612199054,0.9533438812,0.9603253628,0.9542673502,0.9574841462,0.9556315606,0.9572931126,0.9554129288,0.956225451,0.9542803884
arabic-2005,2.27E+07,1.21E+09,0.00E+00,1.21E+06,1.21E+06,1.00E-03,8,1,1,5.679408502,5.107741816,4.82576219,4.661210526,4.919267551,4.756871379,4.810442387,5.28114868,0.9612199054,0.9533438812,0.9603513134,0.95613196,0.9574831644,0.955624773,0.9572931308,0.9554060354,0.9562239926,0.9542793828
arabic-2005,2.27E+07,1.21E+09,0.00E+00,1.21E+06,1.21E+06,1.00E-03,16,1,1,10.00252982,10.17423828,9.598909713,10.9834229,10.47988313,9.15950238,8.756086142,9.692281537,0.9612199054,0.9533438812,0.9597182842,0.9550150406,0.9574841576,0.9556250222,0.9572923052,0.955406281,0.956224285,0.9542808126
arabic-2005,2.27E+07,1.21E+09,0.00E+00,1.21E+06,1.21E+06,1.00E-03,32,1,1,19.15611887,15.17993896,9.340325209,13.83148524,18.69183099,18.43366669,13.54962569,12.88652803,0.9612199054,0.9533438812,0.9562968318,0.9529710724,0.9574894824,0.9556271926,0.9572979466,0.9554080884,0.9562288322,0.9542794366
arabic-2005,2.27E+07,1.21E+09,0.00E+00,1.21E+06,1.21E+06,1.00E-03,64,1,1,24.57515469,23.95718286,20.14228037,19.00629516,25.6497874,25.96109524,17.24838611,21.43233083,0.9612199054,0.9533438812,0.954703765,0.9537345436,0.9574902978,0.9556269014,0.9572991786,0.955407937,0.9562301466,0.9542820854
arabic-2005,2.27E+07,1.21E+09,0.00E+00,1.21E+06,1.21E+06,1.00E-03,128,1,1,27.86333606,26.90032387,18.05650134,24.58944933,23.51590325,19.29173681,11.26234444,15.60635094,0.9612199054,0.9533438812,0.9546120082,0.9535271354,0.9574886148,0.9556278608,0.957296681,0.955408928,0.9562294108,0.954283467
