graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,num_threads,seqsta-s,seqstas-s,ompsta-s,ompstas-s,ompnai-s,ompnais-s,ompdel-s,ompdels-s,ompfro-s,ompfros-s,seqsta-m,seqstas-m,ompsta-m,ompstas-m,ompnai-m,ompnais-m,ompdel-m,ompdels-m,ompfro-m,ompfros-m
kmer_A2a,1.71E+08,3.61E+08,0.00E+00,3.61E+05,3.61E+05,1.00E-03,1,1,1,1,1,1,1,1,1,1,1,0.7611831878,0.7249894036,0.7611831878,0.7249894036,0.7615931118,0.723029084,0.7608488232,0.721648686,0.7608458788,0.7216440178
kmer_A2a,1.71E+08,3.61E+08,0.00E+00,3.61E+05,3.61E+05,1.00E-03,2,1,1,1.66615402,1.47843631,1.617544896,1.466300971,1.553320447,1.669458576,1.712382995,1.764889752,0.7611831878,0.7249894036,0.7611357834,0.7239144396,0.761622121,0.7230134616,0.7608530532,0.7216439064,0.760851299,0.721638778
kmer_A2a,1.71E+08,3.61E+08,0.00E+00,3.61E+05,3.61E+05,1.00E-03,4,1,1,2.824386806,2.260250967,2.745105169,2.483784878,3.357790368,3.050975679,2.570535438,2.863546022,0.7611831878,0.7249894036,0.76101934,0.722924023,0.7616338324,0.7229745792,0.7608545346,0.7216405008,0.7608519992,0.721634916
kmer_A2a,1.71E+08,3.61E+08,0.00E+00,3.61E+05,3.61E+05,1.00E-03,8,1,1,5.043428949,4.147508824,5.308095985,4.615849425,4.944673307,3.133841685,4.888980457,3.456199851,0.7611831878,0.7249894036,0.7612758208,0.7221045418,0.7616394864,0.7229556224,0.7608555954,0.721639467,0.7608522564,0.7216345646
kmer_A2a,1.71E+08,3.61E+08,0.00E+00,3.61E+05,3.61E+05,1.00E-03,16,1,1,8.673175872,7.830677775,7.966330453,6.21584888,5.47198338,6.66301243,6.362341045,6.282062848,0.7611831878,0.7249894036,0.760819308,0.7217300744,0.7616460792,0.722964582,0.7608564652,0.721639282,0.760853153,0.7216332582
kmer_A2a,1.71E+08,3.61E+08,0.00E+00,3.61E+05,3.61E+05,1.00E-03,32,1,1,11.43530943,11.38442241,11.47028246,11.54687758,11.231079,6.708589195,6.434304307,10.35489467,0.7611831878,0.7249894036,0.7612641694,0.7216251308,0.7616679892,0.7229718146,0.7608568102,0.721636315,0.7608533134,0.7216330452
kmer_A2a,1.71E+08,3.61E+08,0.00E+00,3.61E+05,3.61E+05,1.00E-03,64,1,1,11.99647856,12.20553674,13.49742152,12.72780526,15.10898662,12.57371795,10.94255599,13.11836735,0.7611831878,0.7249894036,0.7611444108,0.7218935256,0.761690663,0.7229876818,0.7608565238,0.7216378412,0.7608537714,0.7216319728
kmer_A2a,1.71E+08,3.61E+08,0.00E+00,3.61E+05,3.61E+05,1.00E-03,128,1,1,15.15567235,19.19390235,13.12779161,18.66146443,17.07925072,15.14937687,9.42938238,11.32303523,0.7611831878,0.7249894036,0.7608789436,0.7209412188,0.7616678174,0.7229515098,0.7608574294,0.7216358144,0.7608546534,0.721630238
