graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,seqstal-t,seqstar-t,seqstars-t,ompstal-t,ompstar-t,ompstars-t,ompfrol-t,ompfror-t,ompfrors-t,ompfrolr-t,ompfrolrs-t,seqstal-m,seqstar-m,seqstars-m,ompstal-m,ompstar-m,ompstars-m,ompfrol-m,ompfror-m,ompfrors-m,ompfrolr-m,ompfrolrs-m
all,28534303.84,465074601,0,4.65074601,4.65074601,0.00000001,62445.27738,19574.37585,17159.71301,17680.67027,1689.151899,1468.362973,338.6190097,19.19331239,19.03556197,12.93807804,11.7712656,0.9420547048,0.8101623271,0.8038107187,0.9443807774,0.8667228282,0.8622134677,0.9424464058,0.8664855156,0.8577133032,0.944556068,0.944556068
all,28534303.84,465074601,0,46.5074601,46.5074601,0.0000001,48571.80182,16104.04763,9777.944396,14614.10442,1435.183378,989.1807752,212.1158479,16.4827237,17.58724678,11.40536896,8.666692918,0.9329522915,0.7857369062,0.7642711932,0.9378679865,0.8286840969,0.8464080231,0.9285307844,0.8244655707,0.8422630772,0.9376559847,0.9376561718
all,28534303.84,465074601,0,465.074601,465.074601,0.000001,49066.90301,16173.73085,9783.914086,14368.82112,1280.003932,868.4458622,207.1476239,18.44957519,18.68755878,13.74631681,11.04772899,0.9329511667,0.7857368172,0.7642705119,0.9380513918,0.830255036,0.8509900354,0.9285299574,0.8244646193,0.8422548103,0.9376328824,0.9376295069
all,28534303.84,465074601,0,4650.74601,4650.74601,0.00001,49130.2022,16274.00693,9914.987404,14432.01256,1163.285871,775.6460085,200.9518448,26.86654776,25.53258053,14.49259065,12.36992905,0.9329430315,0.7857358382,0.7642655422,0.9386794963,0.8302725477,0.8467202354,0.9285216677,0.824344556,0.8420408418,0.9375677978,0.9375628691
all,28534303.84,465074601,0,46507.4601,46507.4601,0.0001,49189.34958,16355.62099,9835.182588,14299.31314,1199.884516,790.2327082,218.4979474,31.18990468,28.34274985,22.75768708,23.20260127,0.9328477956,0.7857287771,0.7642034478,0.9377149039,0.8283535078,0.8458264773,0.9284423602,0.8241002319,0.8418914866,0.937434052,0.937431626
all,28534303.84,465074601,0,465074.601,465074.601,0.001,51297.76805,17488.85443,10653.35347,13468.40803,1231.496193,876.5177573,261.2552921,52.97804688,53.57269885,42.19176186,45.57028384,0.9320549147,0.7856515866,0.7635647379,0.9371897086,0.8261330457,0.8462200975,0.9276165772,0.8233724153,0.8411803602,0.936603316,0.9366003758
all,28534303.84,465074601,0,4650746.01,4650746.01,0.01,66768.73364,26042.21385,15881.2276,14682.68567,1538.887289,1092.5475,392.2033099,147.6467792,149.8992613,134.893969,138.53937,0.9233013468,0.7828469504,0.7562158404,0.9279914128,0.8253523881,0.838870037,0.9228385363,0.8162794988,0.8337489656,0.9284042966,0.9283787714
all,28534303.84,465074601,0,46507460.1,46507460.1,0.1,129976.1038,55145.09039,35344.08075,21405.52414,3078.84374,2427.803016,745.7055515,1065.766094,856.4699713,667.9850292,657.0488996,0.8465817166,0.6877972816,0.6374067782,0.8499231135,0.7314031679,0.7501961608,0.849595219,0.7495091838,0.7645261145,0.8528564961,0.8527217355
