graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,num_threads,seqsta-s,ompsta-s,ompnai-s,ompdel-s,ompfro-s,seqsta-m,ompsta-m,ompnai-m,ompdel-m,ompfro-m
all,28534303.84,465074601,0,465067.202,465067.202,0.0009999840906,1,1,1,1,1,1,0.9319343112,0.9319343112,0.9347243923,0.9347243929,0.934701618
all,28534303.84,465074601,0,465067.202,465067.202,0.0009999840906,2,1,1.457596407,1.524091455,1.541294164,1.35253546,0.9319343112,0.9314884463,0.9347243687,0.9347243613,0.9347016473
all,28534303.84,465074601,0,465067.202,465067.202,0.0009999840906,4,1,2.060880805,2.492226377,2.455732081,2.11259651,0.9319343112,0.9334054892,0.9347249772,0.9347250761,0.9347016324
all,28534303.84,465074601,0,465067.202,465067.202,0.0009999840906,8,1,2.741503879,4.083095412,4.255684399,3.28800699,0.9319343112,0.935548345,0.9347249727,0.934724791,0.9347016464
all,28534303.84,465074601,0,465067.202,465067.202,0.0009999840906,16,1,3.599476024,6.504877978,6.812601593,4.94018679,0.9319343112,0.9360916336,0.9347279462,0.9347279798,0.9347016839
all,28534303.84,465074601,0,465067.202,465067.202,0.0009999840906,32,1,4.072826831,8.441582151,8.665039836,6.177832056,0.9319343112,0.9369064449,0.934728315,0.9347286399,0.9347017573
all,28534303.84,465074601,0,465067.202,465067.202,0.0009999840906,64,1,4.204700275,9.415111818,9.474933823,6.683962157,0.9319343112,0.9373948646,0.9347283853,0.9347284695,0.9347016489
all,28534303.84,465074601,0,465067.202,465067.202,0.0009999840906,128,1,3.954876451,8.734389449,8.787610761,5.807648941,0.9319343112,0.9364534354,0.9347282135,0.9347282645,0.9347017813
