graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,raksta-t,raknai-t,rakdel-t,rakfro-t,raksta-m,raknai-m,rakdel-m,rakfro-m
all,0.00000005,0.00000005,0.0000001,829.4712349,281.2755373,77.64851859,10.40698227,0.7688993951,0.7800519113,0.7796758398,0.7789760504
all,0.0000005,0.0000005,0.000001,763.2134648,226.5547246,94.23535193,12.60843327,0.765614849,0.7800468748,0.7795859373,0.7789791405
all,0.000005,0.000005,0.00001,781.4384077,226.0917852,107.0481392,21.91644299,0.7726668826,0.7800444026,0.7796469868,0.7790282246
all,0.00005,0.00005,0.0001,733.7247192,222.2474216,117.5977296,29.68109964,0.7536754056,0.7800192479,0.7798072901,0.7793613858
all,0.0005,0.0005,0.001,748.8183579,222.9366566,172.5503628,46.51048783,0.7823262508,0.7797395708,0.7795775685,0.7792300071
all,0.005,0.005,0.01,795.7845007,266.7406527,327.9627463,106.7040423,0.7774822212,0.7769896816,0.7768629963,0.7767315761
all,0.05,0.05,0.1,978.3234014,351.7305358,889.4710674,310.3452604,0.7330526726,0.7499920604,0.7499091511,0.7499029233
