graph,batch_deletions_size,batch_insertions_size,batch_fraction,raksta-t,raknai-t,rakdel-t,rakfro-t,raksta-m,raknai-m,rakdel-m,rakfro-m
uk-2005,0.00000005,0.00000005,0.0000001,1748.28,601.68,732.82,18.8,0.952901356,0.9526685046,0.9513980878,0.951395768
uk-2005,0.0000005,0.0000005,0.000001,1876.12,606.86,797.7,78.08,0.9527761028,0.9526672468,0.9514257526,0.951395391
uk-2005,0.000005,0.000005,0.00001,1724.02,677.62,954.12,222.48,0.9520020972,0.9526638212,0.9515587804,0.9513921492
uk-2005,0.00005,0.00005,0.0001,1543.26,528.36,1018.88,235.78,0.9521075588,0.9526217744,0.9519117438,0.9513784542
uk-2005,0.0005,0.0005,0.001,1911.68,631.4,1204.54,310.52,0.9522376728,0.952208441,0.9519916202,0.95113001
uk-2005,0.005,0.005,0.01,1862.92,525.62,1415.68,687.34,0.9469654112,0.9481505186,0.948134694,0.9475869436
uk-2005,0.05,0.05,0.1,4684.82,1785.8,5202.24,4122.64,0.9091347754,0.9102290336,0.9102290886,0.910210843
