graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,ompsta-t,ompstas-t,ompnai-t,ompnais-t,ompdel-t,ompdels-t,ompfro-t,ompfros-t,ompsta-m,ompstas-m,ompnai-m,ompnais-m,ompdel-m,ompdels-m,ompfro-m,ompfros-m
kmer_V1r,214005017,465410904,22,22,44,0.0000001,5430.14,3183,1455.86,1196.12,2770.22,2693.12,82.7,78.58,0.744918713,0.7091760648,0.7462100928,0.7115973406,0.7454204568,0.7096552136,0.7454204552,0.7096552136
kmer_V1r,214005017,465410904,232,232,464,0.000001,5873.68,2966.82,1469.18,1020.12,2796.98,2692.38,81.34,91.16,0.7447035392,0.708711845,0.7462130184,0.7115936528,0.7454202596,0.7096549934,0.7454202592,0.7096549896
kmer_V1r,214005017,465410904,2326,2326,4652,0.00001,6322.54,3118.56,1580.94,1052.78,2823.32,2713.04,85.72,90.92,0.7445470652,0.7084986604,0.7462149752,0.711573641,0.7454183138,0.7096525826,0.7454182988,0.70965254
kmer_V1r,214005017,465410904,23270,23270,46540,0.0001,5226.5,2801.68,1696.14,1068.76,2838.78,2741.92,126.42,134.54,0.7451420682,0.7083666356,0.7461987282,0.7115622974,0.7453992208,0.7096286324,0.745398878,0.709628232
kmer_V1r,214005017,465410904,232700,232700,465400,0.001,6225.08,3065.42,1601.72,1062.22,3231.98,3004.8,176.06,187.12,0.7447783074,0.7078990836,0.7460109776,0.7113265222,0.745206707,0.7093913318,0.7452040306,0.7093863316
kmer_V1r,214005017,465410904,2327000,2327000,4654000,0.01,5787.88,3055.8,1649.84,1022.76,3421.52,3200.7,417.54,311.78,0.7423533046,0.705794138,0.7441446858,0.7089045874,0.7433021812,0.707035212,0.7432684046,0.7069846826
kmer_V1r,214005017,465410904,23270000,23270000,46540000,0.1,5359.26,3778.86,1918.66,1324.12,5503.1,5007.98,1989.84,1782.06,0.7211570936,0.6888107824,0.725996094,0.6873569434,0.7251902574,0.6859872508,0.724623404,0.685370025
