graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,seqsta-t,seqstas-t,ompsta-t,ompstas-t,ompnai-t,ompnais-t,ompdel-t,ompdels-t,ompfro-t,ompfros-t,seqsta-m,seqstas-m,ompsta-m,ompstas-m,ompnai-m,ompnais-m,ompdel-m,ompdels-m,ompfro-m,ompfros-m
uk-2002,18520486,566785284,0,4,4,0.000000007057346252,8626.7,8270.26,564.66,577.46,182.6,183.52,9.7,10.02,7.18,8.5,0.952402955,0.955059916,0.9522748138,0.9540630402,0.9543398854,0.956341582,0.9523145474,0.9540920316,0.952314397,0.954092032
uk-2002,18520486,566785284,0,56,56,0.00000009880284753,8611.5,8236.6,528.3,526.94,170.44,165.9,12.54,13.48,9.46,7.66,0.9524028658,0.955059823,0.952440244,0.9541058838,0.954339744,0.9563414682,0.9523204082,0.9540950448,0.952314312,0.9540919646
uk-2002,18520486,566785284,0,566,566,0.0000009986144947,8703.02,8291.9,496.96,501.76,155.1,160.5,24.94,32.6,8.22,9.7,0.952402136,0.9550589834,0.9523973118,0.9538675832,0.9543394632,0.9563403556,0.9523329454,0.9541132202,0.9523147154,0.9540920532
uk-2002,18520486,566785284,0,5666,5666,0.000009996730967,8695.72,8308.56,474.94,452.84,153.46,142.78,66.02,65.38,5.06,10.2,0.952393553,0.9550602168,0.9525816848,0.9540264904,0.9543300906,0.9563319594,0.9524270532,0.9541721838,0.9523076386,0.9540857856
uk-2002,18520486,566785284,0,56680,56680,0.0001000025964,8864.2,8439.4,529.86,479.7,171.94,177.62,128.74,144.86,8.9,18.76,0.952304807,0.9549727374,0.95256262,0.9538620408,0.9542444232,0.956246254,0.952716138,0.9544503022,0.9522528782,0.9540212446
uk-2002,18520486,566785284,0,566800,566800,0.001000025964,9467.08,9063.36,600.82,595.74,202.12,189.18,180.8,183.8,37.92,36.68,0.9514400758,0.954151822,0.9512885934,0.9530467628,0.9533895618,0.9553913034,0.9527285618,0.9546997858,0.951597617,0.9533967632
uk-2002,18520486,566785284,0,5668000,5668000,0.01000025964,15366.82,14928.64,902.34,893.02,279.42,274.3,294.3,285.1,150.58,153.26,0.9431522348,0.9457228356,0.9429768882,0.9446650386,0.9449238908,0.9469195152,0.9448626666,0.946864151,0.9438865854,0.945830097
uk-2002,18520486,566785284,0,56680000,56680000,0.1000025964,48302.44,34473.26,2889.4,2877.22,1487.58,1143.34,1496.62,1435.54,1291.76,1383.18,0.8682988764,0.8678262738,0.8683082162,0.86935771,0.8689418404,0.8707060996,0.8689423274,0.870703069,0.8689102408,0.8706757584
