graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,raksta-t,raknai-t,rakdel-t,rakfro-t,raksta-m,raknai-m,rakdel-m,rakfro-m
kmer_A2a,0.00000005,0.00000005,0.0000001,2684.54,1364.42,241.54,36.24,0.7254308332,0.725605627,0.7254229914,0.7254229914
kmer_A2a,0.0000005,0.0000005,0.000001,2656.3,1490.4,234.34,39.4,0.7254306334,0.725605526,0.7254229162,0.7254229142
kmer_A2a,0.000005,0.000005,0.00001,2688.28,1261,229.6,38.56,0.725429375,0.7256046028,0.7254219332,0.7254219188
kmer_A2a,0.00005,0.00005,0.0001,2839.48,1358.32,238.8,44.3,0.7254294046,0.7255954044,0.7254129234,0.725412737
kmer_A2a,0.0005,0.0005,0.001,2752.02,1283.82,342.78,71.24,0.7253895766,0.7255035404,0.7253226484,0.7253212068
kmer_A2a,0.005,0.005,0.01,2806,1326.08,597.54,224.62,0.7250133858,0.7245740862,0.7244049504,0.7243957742
kmer_A2a,0.05,0.05,0.1,3290.22,1596.32,2263.52,832.68,0.7200526712,0.7145429096,0.7144229406,0.714397668
