graph,batch_deletions_size,batch_insertions_size,batch_fraction,raksta-t,raknai-t,rakdel-t,rakfro-t,raksta-m,raknai-m,rakdel-m,rakfro-m
sk-2005,0.00000005,0.00000005,0.0000001,3852.22,1066.66,1168.32,36.94,0.924111343,0.9277256014,0.9259327284,0.9256345928
sk-2005,0.0000005,0.0000005,0.000001,3842.6,976.08,1470.54,60.76,0.9254641756,0.9277402424,0.9266020722,0.925638428
sk-2005,0.000005,0.000005,0.00001,3427.42,885.62,1515.36,147.4,0.9257226512,0.9277473232,0.9272367496,0.9256596004
sk-2005,0.00005,0.00005,0.0001,3052.22,745.32,1442.44,216.94,0.9257705986,0.927702299,0.92746328,0.9258107406
sk-2005,0.0005,0.0005,0.001,3179.16,768.76,1660.04,393.54,0.9249685604,0.9272783322,0.9272275674,0.9259972056
sk-2005,0.005,0.005,0.01,3565.6,814.22,2586.06,1206.38,0.9209757684,0.9233171922,0.9233164512,0.9227976898
sk-2005,0.05,0.05,0.1,7022.36,2091.22,7927.04,7661.78,0.8557921822,0.8856063448,0.885608477,0.885595897
