graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,ompsta-t,ompstas-t,ompnai-t,ompnais-t,ompdel-t,ompdels-t,ompfro-t,ompfros-t,ompsta-m,ompstas-m,ompnai-m,ompnais-m,ompdel-m,ompdels-m,ompfro-m,ompfros-m
europe_osm,50912018,108109320,4,4,8,0.0000001,3383.64,510,3159.22,162.72,626.44,634.58,18.38,18.12,0.7780038582,0.9258122966,0.8185477578,0.9308523988,0.7780934452,0.9307070284,0.778093449,0.9307070284
europe_osm,50912018,108109320,54,54,108,0.000001,3084.7,429.56,2778.82,158.66,619.64,625.62,22.28,19.68,0.778064977,0.9280564552,0.8185532068,0.9308517942,0.7780932486,0.9307066198,0.7780932206,0.9307066178
europe_osm,50912018,108109320,540,540,1080,0.00001,3100.08,374.52,2596.1,148.54,648.64,659.54,20.52,22.94,0.778210993,0.9264622666,0.8185711918,0.93084753,0.7780913806,0.9307026254,0.778091179,0.9307025826
europe_osm,50912018,108109320,5404,5404,10808,0.0001,3092.8,405.2,2507.2,151.2,635.22,646.78,29.54,22.1,0.7784164456,0.9276335578,0.8186741686,0.9308075796,0.7780728118,0.9306624416,0.7780703898,0.9306621864
europe_osm,50912018,108109320,54050,54050,108100,0.001,3034.36,402.56,2590.92,131.7,677.1,683.18,32.66,36.18,0.7803591438,0.9268257238,0.819690398,0.9304039954,0.7778832312,0.9302608072,0.7778619168,0.9302581244
europe_osm,50912018,108109320,540500,540500,1081000,0.01,3289.92,529.04,3167.16,181.62,738.8,781.74,97.64,106.54,0.796523856,0.9208216254,0.8281864906,0.9263866852,0.7759665002,0.9262519734,0.7757661406,0.9262291626
europe_osm,50912018,108109320,5405000,5405000,10810000,0.1,2518.68,728.14,1641.58,264.54,1321.76,1084.38,356.36,357.58,0.7794653448,0.8749179834,0.800919872,0.888160745,0.7620921624,0.8880560518,0.7549006764,0.887412113
