graph,batch_deletions_size,batch_insertions_size,batch_fraction,raksta-t,raknai-t,rakdel-t,rakfro-t,raksta-m,raknai-m,rakdel-m,rakfro-m
indochina-2004,0.00000005,0.00000005,0.0000001,378.84,147.14,94.9,3.6,0.9040794716,0.9074607604,0.9055033062,0.9054966504
indochina-2004,0.0000005,0.0000005,0.000001,389.18,143.3,142.26,4.6,0.9044733238,0.9074546048,0.9056141946,0.9054963318
indochina-2004,0.000005,0.000005,0.00001,351.24,148.8,198.58,7.52,0.9046229066,0.9074573736,0.9060348352,0.905500339
indochina-2004,0.00005,0.00005,0.0001,362.76,140.18,236.88,14.4,0.9038145508,0.9074087662,0.9068697666,0.9055250716
indochina-2004,0.0005,0.0005,0.001,378.44,154.48,264.04,34.42,0.9034803828,0.9070299026,0.9068343444,0.9055841014
indochina-2004,0.005,0.005,0.01,447.66,179.58,398.64,135.64,0.9002185638,0.9031465522,0.9031254676,0.902446848
indochina-2004,0.05,0.05,0.1,670.04,304.44,894.64,671.82,0.8660125288,0.8689209382,0.8689148734,0.868902706
