graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,raksta-t,raknai-t,rakdel-t,rakfro-t,raksta-m,raknai-m,rakdel-m,rakfro-m
com-LiveJournal,0.00000005,0.00000005,0.0000001,182.45,37.25,7.75,1.2,0.4965923885,0.5796590825,0.582155591,0.582144529
com-LiveJournal,0.0000005,0.0000005,0.000001,191.75,37.6,33.85,1.2,0.475648198,0.5796395845,0.5804517545,0.5821441955
com-LiveJournal,0.000005,0.000005,0.00001,178.8,37.7,31.55,3.4,0.523837389,0.5796411845,0.5798828165,0.582141124
com-LiveJournal,0.00005,0.00005,0.0001,165.7,27.65,29.25,2.7,0.6081306855,0.579632659,0.5797604355,0.5820889975
com-LiveJournal,0.0005,0.0005,0.001,168.05,28.6,33.8,8.05,0.604505392,0.579375683,0.5793579565,0.5812532085
com-LiveJournal,0.005,0.005,0.01,186.5,38.9,57.65,15.7,0.5980947535,0.5769579045,0.576957309,0.577912201
com-LiveJournal,0.05,0.05,0.1,151,50.75,160.35,52.25,0.47232867,0.550167468,0.550169838,0.5503917325
