graph,order,size,batch_deletions_size,batch_insertions_size,batch_size,batch_fraction,seqsta-t,seqstas-t,ompsta-t,ompstas-t,ompnai-t,ompnais-t,ompdel-t,ompdels-t,ompfro-t,ompfros-t,seqsta-m,seqstas-m,ompsta-m,ompstas-m,ompnai-m,ompnais-m,ompdel-m,ompdels-m,ompfro-m,ompfros-m
asia_osm,11950757,25423206,0,0,0,0,6157.36,582.5,672.74,83.22,647.1,57.18,5.52,7.52,3.42,3.46,0.730088734,0.9536035,0.7328044706,0.939422836,0.7795017282,0.940631058,0.732370099,0.94042393,0.732370099,0.94042393
asia_osm,11950757,25423206,0,2,2,0.0000000786682844,6259.16,590.08,706.62,110.58,657.08,52.4,3.92,4.86,6.22,3.52,0.730089101,0.9536032988,0.7326819744,0.9404193282,0.7795096436,0.9406314088,0.7323700568,0.9404238718,0.7323700568,0.940423856
asia_osm,11950757,25423206,0,24,24,0.0000009440194128,6288,597.4,687.86,93.4,616.74,43.22,4.76,9.7,5.32,7.84,0.7300927018,0.9536024396,0.7327703764,0.939453621,0.7795036354,0.9406307994,0.732369565,0.9404230578,0.7323696124,0.940423042
asia_osm,11950757,25423206,0,254,254,0.000009990872119,6271.34,582.14,713.74,98.26,668.04,45.8,8.26,4.86,4.1,5.02,0.730139842,0.9535918994,0.7328532074,0.9392968592,0.7795459394,0.940621487,0.732365677,0.94041466,0.7323656298,0.9404145812
asia_osm,11950757,25423206,0,2542,2542,0.00009998738947,6139.58,586.36,692.4,103.46,597.56,40.36,4.1,8.9,5.6,4.46,0.730582172,0.9534856434,0.7333892128,0.9391787158,0.77982688,0.940537312,0.7323284368,0.9403312428,0.7323243936,0.9403305504
asia_osm,11950757,25423206,0,25420,25420,0.0009998738947,6338.1,604.56,645.2,94.78,610.1,30.82,9.52,18,6.7,5.04,0.7349429876,0.9524342338,0.7377637404,0.9380453956,0.7824245898,0.9396984214,0.7319438928,0.9394961998,0.7319083544,0.9394920032
asia_osm,11950757,25423206,0,254200,254200,0.009998738947,7831.38,774.36,733.66,98.24,634.58,39.18,23.06,35.26,9.02,8.38,0.7686759208,0.9424053728,0.7716965536,0.9281371344,0.8030405138,0.93137983,0.7279880886,0.9312045834,0.7277628774,0.9311796124
asia_osm,11950757,25423206,0,2542000,2542000,0.09998738947,11584.64,2076.12,623.16,195.78,499.64,64.36,200.3,61.84,122.54,54.5,0.7486509938,0.8591524544,0.7503357026,0.8366772044,0.7735559164,0.8556585244,0.7128691074,0.8555819328,0.6963761366,0.8555108756
