graph,batch_deletions_size,batch_insertions_size,batch_fraction,raksta-t,raknai-t,rakdel-t,rakfro-t,raksta-m,raknai-m,rakdel-m,rakfro-m
webbase-2001,0.00000005,0.00000005,0.0000001,1887.94,694.38,1433.04,44.96,0.9309259292,0.9343503832,0.9310936498,0.9310917936
webbase-2001,0.0000005,0.0000005,0.000001,1614.18,546.88,1505.2,50.74,0.930883545,0.9343497714,0.9311128088,0.9310917746
webbase-2001,0.000005,0.000005,0.00001,1479.78,525.12,1586.06,61.24,0.9310600538,0.934346691,0.9312370446,0.9310892796
webbase-2001,0.00005,0.00005,0.0001,2048.42,739.12,1793.16,102.94,0.9308300042,0.9343090276,0.9318270658,0.931075451
webbase-2001,0.0005,0.0005,0.001,1955.84,803.46,2110.5,212.1,0.930509043,0.933929453,0.9326885206,0.9308439578
webbase-2001,0.005,0.005,0.01,2064.52,648.68,2506.86,696.6,0.9270795448,0.9301974104,0.9299087642,0.9278268362
webbase-2001,0.05,0.05,0.1,5317.18,3257.84,8686.58,5753.92,0.8926401268,0.8981156482,0.8981109122,0.897676435
